,date,hive_weight
160,2014-02-23 0:00:00,38.82
161,2014-02-24 0:00:00,39.068
162,2014-02-25 0:00:00,39.543
163,2014-02-26 0:00:00,39.49
164,2014-02-27 0:00:00,39.251
165,2014-02-28 0:00:00,39.301
166,2014-03-01 0:00:00,38.898
167,2014-03-02 0:00:00,46.042
168,2014-03-03 0:00:00,58.6
169,2014-03-04 0:00:00,57.598
170,2014-03-05 0:00:00,57.524
171,2014-03-06 0:00:00,57.412
172,2014-03-07 0:00:00,57.224
173,2014-03-08 0:00:00,56.913
174,2014-03-09 0:00:00,55.463
175,2014-03-10 0:00:00,53.783
176,2014-03-11 0:00:00,53.951
177,2014-03-12 0:00:00,54.082
178,2014-03-13 0:00:00,54.02
179,2014-03-14 0:00:00,53.552
180,2014-03-15 0:00:00,63.097
181,2014-03-16 0:00:00,70.26
182,2014-03-17 0:00:00,71.709
183,2014-03-18 0:00:00,72.326
184,2014-03-19 0:00:00,69.84
185,2014-03-20 0:00:00,72.203
186,2014-03-21 0:00:00,73.729
187,2014-03-22 0:00:00,74.4
188,2014-03-23 0:00:00,75.207
189,2014-03-24 0:00:00,76.885
190,2014-03-25 0:00:00,77.907
191,2014-03-26 0:00:00,78.966
192,2014-03-27 0:00:00,78.989
193,2014-03-28 0:00:00,79.195
194,2014-03-29 0:00:00,80.712
195,2014-03-30 0:00:00,81.276
196,2014-03-31 0:00:00,81.503
197,2014-04-01 0:00:00,81.975
198,2014-04-02 0:00:00,81.408
199,2014-04-03 0:00:00,80.691
200,2014-04-04 0:00:00,80.676
201,2014-04-05 0:00:00,82.218
202,2014-04-06 0:00:00,83.955
203,2014-04-07 0:00:00,85.381
204,2014-04-08 0:00:00,87.033
205,2014-04-09 0:00:00,88.131
206,2014-04-10 0:00:00,89.034
207,2014-04-11 0:00:00,89.858
208,2014-04-12 0:00:00,84.535
209,2014-04-13 0:00:00,82.782
210,2014-04-14 0:00:00,83.648
211,2014-04-15 0:00:00,84.564
212,2014-04-16 0:00:00,85.335
213,2014-04-17 0:00:00,85.873
214,2014-04-18 0:00:00,86.333
215,2014-04-19 0:00:00,86.794
216,2014-04-20 0:00:00,87.258
217,2014-04-21 0:00:00,88.116
218,2014-04-22 0:00:00,88.036
219,2014-04-23 0:00:00,88.016
220,2014-04-24 0:00:00,88.364
221,2014-04-25 0:00:00,92.367
222,2014-04-26 0:00:00,100.174
223,2014-04-27 0:00:00,99.999
224,2014-04-28 0:00:00,100.394
225,2014-04-29 0:00:00,100.629
226,2014-04-30 0:00:00,100.664
227,2014-05-01 0:00:00,100.987
